Name,Dialogue,NextRow,Datatable,EndDialogue?,CharacterName,EN,JP,Actionable?,KR,CH,DE,TH,PH,PT,FR,ES,RU
ch7_caseoh2,Ya? Ada lagi?,ch7_caseoh3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Yeah? Anything else?,うん？他に何か？,,응? 다른 건 있어?,嗯？还有别的吗？,Ja? Noch etwas?,เออ? มีอะไรอีกมั้ย?,Oo? May iba pa ba?,Sim? Mais alguma coisa?,Ouais ? Autre chose ?,¿Si? ¿Algo más?,Да? Что-нибудь ещё?
ch7_caseoh3,Hanya ini saja.,ch7_caseoh4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Customer,That’s all.,それだけ。,,그게 다야.,就这些。,Das ist alles.,แค่นั้นเอง.,Iyon lang.,Isso é tudo.,C’est tout.,Eso es todo.,Вот и все.
ch7_caseoh4,"Baiklah, totalnya Rp7,500",ch7_caseoh5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Alright, that’ll be $3.25.",はい、3ドル25セントです,,"좋아, 3달러 25센트야",好的，总共三美元二十五美分,"In Ordnung, das macht drei Dollar fünfundzwanzig",โอเค นั่นจะเป็น 3.25 เหรียญ,"Sige, magiging $3.25 iyon.","Tudo bem, serão US$ 3,25.","Très bien, ça fera 3,25 $.","Está bien, serán $3,25.","Хорошо, это будет стоить 3,25 доллара."
ch7_caseoh5,Terima kasih,ch7_caseoh6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Customer,Thanks,ありがとう,,고마워,谢谢,Danke,ขอบคุณ,Salamat,Obrigado,Merci,Gracias,Спасибо
ch7_caseoh6,Sandwich seperti ini sudah beberapa kali membantuku melewati malam yang panjang,ch7_caseoh7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Customer,A sandwich like this has helped me through more than a few long nights,こんなサンドイッチが、長い夜を何度も乗り越える助けになった,,이런 샌드위치가 몇 번의 긴 밤을 버티게 도와줬어,这样的三明治帮我度过了好几个漫长的夜晚,Ein Sandwich wie dieses hat mir durch mehr als nur ein paar lange Nächte geholfen,แซนวิชแบบนี้ช่วยฉันผ่านคืนอันยาวนานมาได้หลายคืน,Ang isang sandwich na tulad nito ay nakatulong sa akin sa higit sa ilang mahabang gabi,Um sanduíche como este me ajudou a passar mais do que algumas noites longas,Un sandwich comme celui-ci m'a aidé à traverser plus de quelques longues nuits,Un sándwich como este me ha ayudado a superar más de unas cuantas noches largas.,Такой сэндвич помог мне пережить не одну долгую ночь.
ch7_caseoh7,Whoaa...,ch7_caseoh8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Whoaa…,うわ…,,와…,哇…,Whoa…,โอ้โห...,Whoaa…,Uau…,Waouh…,Vaya...,Ого…
ch7_caseoh8,Kau tahu? kalau rata-rata orang memakan sekitar tiga puluh ribu sandwich sepanjang hidupnya?,ch7_caseoh9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Customer,Did you know? the average person eats about thirty thousand sandwiches in their lifetime?,知ってた？平均的な人は一生で約3万個のサンドイッチを食べるんだって,,알고 있었어? 평균적으로 사람은 평생 약 3만 개의 샌드위치를 먹는대,你知道吗？平均一个人一生大约会吃三万个三明治,Wusstest du? Der durchschnittliche Mensch isst in seinem Leben etwa dreißigtausend Sandwiches,คุณรู้หรือไม่? โดยเฉลี่ยแล้ว คนเรากินแซนวิชประมาณสามหมื่นชิ้นในช่วงชีวิตของพวกเขา?,alam mo ba ang karaniwang tao ay kumakain ng humigit-kumulang tatlumpung libong sandwich sa kanilang buhay?,Você sabia? Uma pessoa come em média cerca de trinta mil sanduíches ao longo da vida?,Le saviez-vous ? Une personne moyenne mange environ trente mille sandwichs au cours de sa vie ?,¿Sabías que una persona promedio come alrededor de treinta mil sándwiches a lo largo de su vida?,"Знаете ли вы, что за свою жизнь человек в среднем съедает около тридцати тысяч сэндвичей?"
ch7_caseoh9,Aku tidak tahu...,ch7_caseoh10,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I didn’t know…,知らなかった…,,몰랐어…,我不知道…,Ich wusste es nicht…,ฉันไม่รู้หรอก…,hindi ko alam…,Eu não sabia…,Je ne savais pas…,No lo sabía…,Я не знал...
ch7_caseoh10,Mungkin. Atau mungkin aku yang membuat rata-ratanya naik,ch7_caseoh11,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Customer,Maybe. Or maybe I’m the one raising the average,たぶんね。あるいは、私が平均を引き上げてるのかも,,아마. 아니면 내가 평균을 올리고 있는 걸지도,也许吧。或者，也许是我把平均数拉高了,"Vielleicht. Oder vielleicht bin ich derjenige, der den Durchschnitt erhöht",บางที หรือบางทีฉันอาจเป็นคนเพิ่มค่าเฉลี่ย,Siguro. O baka ako ang nagtataas ng average,Talvez. Ou talvez eu seja o único que está aumentando a média,Peut-être. Ou peut-être que c'est moi qui augmente la moyenne.,Quizás. O quizás soy yo quien aumenta el promedio,"Может быть. Или, может быть, я тот, кто поднимает средний показатель."
ch7_caseoh11,...,ch7_caseoh12,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,...,…,,…,…,…,-,...,...,...,...,...
ch7_caseoh12,"Oke, aku akan kembali ke Waffle House. Semoga malammu menyenangkan",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,Customer,"Okay, I’ll head back to Waffle House. Have a good night",さて、ワッフルハウスに戻ろう。おやすみ,,"좋아, 이제 Waffle House로 돌아가야지. 좋은 밤 보내",好吧，我该回 Waffle House 了。晚安,"Okay, ich gehe zurück zum Waffle House. Gute Nacht",โอเค ฉันจะกลับไปที่ Waffle House นะ ฝันดีนะ,"Okay, babalik ako sa Waffle House. Magandang gabi","Ok, vou voltar para a Waffle House. Tenha uma boa noite.","Bon, je retourne au Waffle House. Bonne soirée.","Bueno, vuelvo a Waffle House. Que tengas una buena noche.","Ладно, я пойду обратно в «Вафельный домик». Спокойной ночи."
ch7_izin,Jam lima… waktunya berangkat,ch7_izin2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Five o’clock… time to go,五時…帰る時間だ,,다섯 시… 갈 시간이야,五点…该走了,Fünf Uhr… Zeit zu gehen,ห้าโมงแล้ว...ถึงเวลาต้องไป,Alas singko... oras na para umalis,Cinco horas… hora de ir,Cinq heures… il est temps de partir,Las cinco en punto… hora de irse,Пять часов… пора идти.
ch7_izin2,Aku sudah janji dengan Sarah,ch7_izin3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I promised Sarah,サラに約束した,,Sarah에게 약속했어,我答应过 Sarah,Ich habe Sarah versprochen,ฉันสัญญากับซาร่าห์แล้ว,Nangako ako kay Sarah,Eu prometi a Sarah,J'ai promis à Sarah,Le prometí a Sarah,Я обещал Саре
ch7_izin3,"Mungkin nanti aku akan bilang ke manajer, izin pulang lebih cepat…",ch7_izin4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Maybe I’ll tell the manager I’m heading home early…,マネージャーに早く帰るって言おうかな…,,아마 매니저에게 일찍 집에 간다고 말할지도…,也许我会告诉经理我早点回家…,"Vielleicht sage ich dem Manager, dass ich früher nach Hause gehe…",บางทีฉันอาจจะบอกผู้จัดการว่าฉันกำลังจะกลับบ้านเร็ว…,Siguro sasabihin ko sa manager na uuwi ako ng maaga...,Talvez eu diga ao gerente que estou indo para casa mais cedo…,Peut-être que je dirai au directeur que je rentre tôt à la maison…,Tal vez le diré al gerente que me voy a casa temprano…,"Может быть, я скажу менеджеру, что пойду домой пораньше..."
ch7_izin4,"Yah, semoga dia tidak banyak bertanya",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,"Well, I hope she doesn’t ask too many questions",うまくいけば質問はあまりされないだろう,,"음, 그녀가 질문을 너무 많이 하지 않기를 바라",希望她不会问太多问题,"Nun, ich hoffe, sie stellt nicht zu viele Fragen",ฉันหวังว่าเธอคงไม่ถามคำถามมากเกินไป,"Well, sana hindi na siya magtanong ng marami","Bem, espero que ela não faça muitas perguntas","Eh bien, j’espère qu’elle ne posera pas trop de questions","Bueno, espero que no haga demasiadas preguntas.","Ну, я надеюсь, она не будет задавать слишком много вопросов."
ch7_rain,"…ah, sial. Hujan",ch7_rain2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"…ah, damn. Rain",…ああ、雨だ,,"…아, 젠장. 비",…啊，见鬼。下雨了,"…ah, verdammt. Regen",…โอ้ย ฝนตกซะงั้น,"…ah, sumpain. ulan","...ah, droga. Chuva","…ah, zut. La pluie","…ah, maldita sea. Lluvia","…ах, чёрт. Дождь."
ch7_rain2,Aku harus segera pulang,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,I need to get home fast,早く家に帰らないと,,빨리 집에 가야 해,我得快点回家,Ich muss schnell nach Hause,ฉันต้องกลับบ้านเร็วๆ,Kailangan kong makauwi ng mabilis,Preciso chegar em casa rápido,Je dois rentrer à la maison rapidement,Necesito llegar a casa rápido,Мне нужно быстро попасть домой.
ch7_from_mike,Cukup… Aku sudah lelah berlari dari ini semua,ch7_from_mike2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Enough… I’m tired of running from all this,もう十分…これから逃げるのは疲れた,,이제 충분해… 이 모든 걸 피해 다니는 것도 지쳤어,够了…我已经厌倦了逃避这一切,"Genug… ich bin es leid, vor all dem davonzulaufen",พอแล้ว… ฉันเหนื่อยที่จะวิ่งหนีจากเรื่องทั้งหมดนี้แล้ว,Sapat na... Pagod na akong tumakbo mula sa lahat ng ito,Chega… Estou cansado de fugir de tudo isso,Assez… J’en ai marre de fuir tout ça,Ya basta… estoy cansado de huir de todo esto,Хватит… Мне надоело бежать от всего этого.
ch7_from_mike2,"Jika ini memang harus kuhadapi, biarlah malam ini jadi akhirnya",ch7_from_mike3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"If I have to face it, let tonight be the end",もし向き合うなら、今夜が終わりであってほしい,,"만약 맞서야 한다면, 오늘 밤이 끝이 되길",如果必须面对，就让今晚成为终点,"Wenn ich mich dem stellen muss, lass heute Nacht das Ende sein",หากฉันต้องเผชิญความจริง ขอให้คืนนี้เป็นตอนจบ,"Kung kailangan kong harapin, hayaan na ngayong gabi ang wakas","Se eu tiver que encarar isso, que esta noite seja o fim","Si je dois y faire face, que ce soir soit la fin","Si tengo que afrontarlo, que esta noche sea el final.","Если мне придется столкнуться с этим, пусть сегодняшняя ночь станет концом."
ch7_from_mike3,Aku ingin… berdamai,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,I want… peace,私は…平穏が欲しい,,난… 평화를 원해,我想要…平静,Ich will… Frieden,ฉันต้องการ…ความสงบสุข,Gusto ko... kapayapaan,Eu quero… paz,Je veux… la paix,Quiero… paz,Я хочу… мира.
ch7_relieve,Angin malam ini… rasanya tenang,ch7_relieve1,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,This evening breeze… feels calm,今夜の風…穏やかに感じる,,저녁 바람… 차분하게 느껴져,今晚的微风…感觉很安宁,Die Abendbrise… fühlt sich ruhig an,ลมเย็นยามเย็น…ให้ความรู้สึกสงบ,Ang simoy ng hangin sa gabing ito… kalmado ang pakiramdam,Esta brisa da noite… parece calma,Cette brise du soir… semble calme,Esta brisa de la tarde… se siente tranquila,Этот вечерний бриз… кажется спокойным
ch7_relieve1,"Daun-daun jatuh pelan, seolah dunia sedang memberiku jeda.",ch7_relieve2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Leaves falling gently, as if the world is giving me a pause.",葉が静かに落ちていく、まるで世界が私に休息を与えてくれているかのようだ,,"나뭇잎이 부드럽게 떨어져, 마치 세상이 잠시 멈춰준 듯",树叶轻轻飘落，仿佛世界给我一个暂停,"Blätter fallen sanft, als würde die Welt mir eine Pause gönnen",ใบไม้ร่วงลงมาอย่างแผ่วเบา เหมือนกับว่าโลกกำลังทำให้ฉันหยุดชะงัก,"Dahan-dahang bumabagsak, na para bang pinapahinto ako ng mundo.","Folhas caindo suavemente, como se o mundo estivesse me dando uma pausa.","Les feuilles tombent doucement, comme si le monde me donnait une pause.","Hojas cayendo suavemente, como si el mundo me estuviera dando un respiro.","Листья падают мягко, как будто мир дает мне паузу."
ch7_relieve2,"Aku ingin percaya, bahwa mungkin…",ch7_relieve3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"I want to believe, that maybe…",信じたい…もしかしたら…,,"믿고 싶어, 어쩌면…",我想相信，也许…,"Ich möchte glauben, dass ich vielleicht…",ฉันอยากจะเชื่อว่าบางที…,"Gusto kong maniwala, na baka...",Quero acreditar que talvez…,Je veux croire que peut-être…,Quiero creer que tal vez…,"Я хочу верить, что, возможно…"
ch7_relieve3,aku bisa berdamai dengan semuanya.,ch7_relieve4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,I can make peace with it all.,全てと和解できるかもしれない,,모든 것과 화해할 수 있을지도,我可以与一切和解,mit allem Frieden schließen kann,ฉันสามารถทำสันติกับทุกสิ่งได้,Kaya kong makipagpayapaan sa lahat ng ito.,Posso fazer as pazes com tudo isso.,Je peux faire la paix avec tout ça.,Puedo hacer las paces con todo ello.,Я могу со всем этим смириться.
ch7_relieve4,"Luka itu, kehilangan itu…",ch7_relieve5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Those wounds, that loss…",あの傷、あの喪失は…,,"그 상처들, 그 상실…",那些伤痛，那些失落…,"Diese Wunden, dieser Verlust…",บาดแผลเหล่านั้น การสูญเสียเหล่านั้น…,"Yung mga sugat, yung pagkawala...","Essas feridas, essa perda...","Ces blessures, cette perte…","Esas heridas, esa pérdida…","Эти раны, эта утрата…"
ch7_relieve5,tidak akan pernah benar-benar hilang,ch7_relieve6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,they’ll never truly disappear,決して完全には消えないだろう,,절대 완전히 사라지지 않아,它们永远不会真正消失,sie werden niemals wirklich verschwinden,พวกเขาจะไม่มีวันหายไปอย่างแท้จริง,hindi talaga sila mawawala,eles nunca desaparecerão de verdade,ils ne disparaîtront jamais vraiment,Nunca desaparecerán del todo,они никогда по-настоящему не исчезнут
ch7_relieve6,"Tapi mungkin, aku bisa belajar untuk hidup bersamanya",ch7_relieve7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"But maybe, I can learn to live with them",でも、うまく付き合うことを学べるかもしれない,True,"하지만 어쩌면, 그들과 함께 살아가는 법을 배울 수 있을지도",但也许，我可以学会与它们共存,"Aber vielleicht kann ich lernen, mit ihnen zu leben",แต่บางทีฉันอาจจะเรียนรู้ที่จะอยู่ร่วมกับพวกเขาได้,"Pero siguro, matututo akong mamuhay kasama sila",Mas talvez eu possa aprender a conviver com eles,Mais peut-être que je peux apprendre à vivre avec eux,Pero tal vez pueda aprender a vivir con ellos.,"Но, может быть, я смогу научиться жить с ними."
ch7_relieve7,"Mungkin, aku tak harus terus berlari atau melawan",ch7_relieve8,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,Maybe I don’t have to keep running or fighting,もう逃げたり戦ったりする必要はないかも,,계속 도망치거나 싸울 필요는 없을지도,也许我不必一直逃跑或战斗,Vielleicht muss ich nicht immer weiterlaufen oder kämpfen,บางทีฉันอาจไม่ต้องวิ่งหรือต่อสู้ต่อไป,Siguro hindi ko na kailangang patuloy na tumakbo o lumaban,Talvez eu não precise continuar correndo ou lutando,Peut-être que je n’ai pas besoin de continuer à courir ou à me battre,Tal vez no tenga que seguir corriendo ni luchando.,"Может быть, мне не нужно продолжать бежать или бороться"
ch7_relieve8,"Mungkin, yang perlu kulakukan hanyalah duduk… bernapas…",ch7_relieve9,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"Maybe, all I need to do is sit… breathe…",ただ座って…深呼吸して…,,아마 내가 해야 할 건 그냥 앉아서… 숨 쉬고…,也许，我只需要坐下…呼吸…,Vielleicht muss ich nur sitzen… atmen…,บางทีสิ่งที่ฉันต้องทำก็คือ นั่ง... หายใจ...,"Siguro, ang kailangan ko lang gawin ay umupo... huminga...",Talvez tudo que eu precise fazer seja sentar... respirar...,"Peut-être que tout ce que j’ai à faire, c’est m’asseoir… respirer…","Tal vez, todo lo que necesito hacer es sentarme… respirar…","Может быть, все, что мне нужно сделать, это сесть… подышать…"
ch7_relieve9,dan membiarkan waktu mengajariku cara menerima.,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,and let time teach me how to accept.,時間に教えてもらうのだ、受け入れる方法を,,시간이 받아들이는 법을 가르치도록 두는 것,让时间教我如何接受,"und die Zeit mich lehren lassen, wie man akzeptiert",และปล่อยให้เวลาสอนฉันให้รู้จักยอมรับ,at hayaang turuan ako ng panahon kung paano tanggapin.,e deixar que o tempo me ensine a aceitar.,et laisse le temps m'apprendre à accepter.,y dejar que el tiempo me enseñe a aceptar.,и пусть время научит меня принимать.
ch7_obat,Jadi… ini jawabannya?,ch7_obat2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,So… this is the answer?,つまり…これが答えか？,,그래… 이게 답이야?,所以…这就是答案吗？,Also… das ist die Antwort?,แล้วนี่คือคำตอบใช่ไหม?,So... ito na ang sagot?,Então… essa é a resposta?,Alors… c’est la réponse ?,Entonces… ¿esta es la respuesta?,Итак... это и есть ответ?
ch7_obat2,Semua… hanya karena aku tak pernah menelanmu?,ch7_obat3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,All… just because I never swallowed you?,全て…私が飲み込まなかったから？,,모든 게… 내가 널 삼키지 않았기 때문이라고?,一切…仅仅因为我从未吞下你吗？,Alles… nur weil ich dich nie „geschluckt“ habe?,ทั้งหมด…แค่เพราะฉันไม่เคยกลืนคุณเหรอ?,Lahat... dahil lang hindi kita nilamon?,Tudo… só porque eu nunca te engoli?,Tout… juste parce que je ne t’ai jamais avalé ?,Todo… ¿sólo porque nunca te tragué?,"И все... только потому, что я тебя так и не проглотила?"
ch7_obat3,"Atau… justru karena aku takut, dan membiarkan semua ini tumbuh di kepalaku?",None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,"Or… because I was afraid, and let it all grow in my head?",それとも…怖くて、全てを頭の中で大きくしてしまったからか？,,"아니면… 내가 두려워서, 모든 걸 머릿속에서 키웠기 때문이라고?",还是…因为我害怕，让它在我脑中不断生长？,Oder… weil ich Angst hatte und alles in meinem Kopf wachsen ließ?,หรือ…เพราะฉันกลัวแล้วปล่อยให้มันเติบโตในหัวฉัน?,"O... dahil natatakot ako, at hayaang tumubo ang lahat sa aking isipan?",Ou... porque eu estava com medo e deixei tudo crescer na minha cabeça?,Ou… parce que j’avais peur et que j’ai laissé tout cela grandir dans ma tête ?,¿O… porque tuve miedo y dejé que todo creciera en mi cabeza?,Или… потому что я боялся и позволил всему этому разрастись в моей голове?
ch7_akhir,Jadi… inikah puncaknya?,ch7_akhir2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,So… this is the peak?,つまり…これが頂点か？,,그래… 이게 정점이야?,所以…这就是顶点吗？,Also… das ist der Höhepunkt?,แล้วนี่คือจุดสูงสุดแล้วใช่ไหม?,Kaya... ito ang rurok?,Então… esse é o pico?,Alors… c’est le sommet ?,Entonces… ¿este es el pico?,Итак... это пик?
ch7_akhir2,Tak ada lagi batas antara nyata dan gila…,ch7_akhir3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,No more line between reality and madness…,現実と狂気の境界はもうない…,,현실과 광기의 경계는 사라지고…,现实与疯狂之间的界线不复存在…,Keine Linie mehr zwischen Realität und Wahnsinn…,ไม่มีเส้นแบ่งระหว่างความจริงกับความบ้าคลั่งอีกต่อไป…,Wala nang linya sa pagitan ng katotohanan at kabaliwan...,Não há mais linha entre a realidade e a loucura…,Il n’y a plus de frontière entre la réalité et la folie…,Ya no existe línea entre la realidad y la locura…,Больше нет границы между реальностью и безумием…
ch7_akhir3,tak ada lagi arah untuk pulang,ch7_akhir4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,no more way home,帰る道もない,,집으로 돌아갈 길도 없어,回家的路也没有了,kein Heimweg mehr,ไม่มีทางกลับบ้านอีกแล้ว,wala nang daan pauwi,não há mais caminho para casa,plus de chemin vers la maison,No hay más camino a casa,больше нет пути домой
ch7_akhir4,.,ch7_akhir5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,.,.,,.,.,.,-,.,.,.,.,.
ch7_akhir5,..,ch7_akhir6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,..,..,,..,..,..,-,..,..,..,..,..
ch7_akhir6,"Jika ini memang akhir,",ch7_akhir7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"If this really is the end,",もしこれが本当に終わりなら、,,"정말 이게 끝이라면,",如果这真的是终点，,"Wenn das wirklich das Ende ist,",หากนี่คือจุดจบจริงๆ,"Kung ito na talaga ang katapusan,","Se este for realmente o fim,","Si c'est vraiment la fin,","Si este realmente es el final,","Если это действительно конец,"
ch7_akhir7,semoga aku tak perlu melihat cahaya lagi,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,I hope I never have to see the light again,もう二度と光を見たくない,,다시는 빛을 볼 필요가 없기를 바래,我希望我再也不需要见到光,"hoffe ich, dass ich das Licht nie wieder sehen muss",ฉันหวังว่าฉันจะไม่ต้องเห็นแสงสว่างอีกต่อไป,Sana hindi ko na muling makita ang liwanag,Espero nunca mais ter que ver a luz,J'espère ne plus jamais avoir à revoir la lumière,Espero no tener que volver a ver la luz nunca más.,"Надеюсь, мне больше никогда не придется увидеть свет."
ch7_janitor,lalala....indahnya indahnya wajahmu selalu dalam terbayang-bayang,None,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',True,,lalala… your beautiful face forever lingers in my mind,ららら…あなたの美しい顔が永遠に私の心に残る,,랄라라… 너의 아름다운 얼굴이 영원히 내 마음에 남아,啦啦啦…你美丽的脸永远停留在我的脑海里,Lalala… dein schönes Gesicht bleibt für immer in meinem Kopf,ลาลาลา… ใบหน้าอันงดงามของคุณจะยังคงอยู่ในใจฉันตลอดไป,lalala... ang maganda mong mukha ay walang hanggan sa aking isipan,lalala… seu lindo rosto permanece para sempre em minha mente,lalala… ton beau visage restera à jamais gravé dans mon esprit,lalala… tu hermoso rostro permanece para siempre en mi mente,лалала… твое прекрасное лицо навсегда останется в моей памяти
ch7_michael,KAU!!!,ch7_michael1,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,YOU!!!,お前！！！,,너!!!,你！！！,DU!!!,คุณ!!!,IKAW!!!,VOCÊ!!!,TOI!!!,¡¡¡TÚ!!!,ТЫ!!!
ch7_michael1,Semua ini karena kau!,ch7_michael2,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,All of this is because of you!,すべてはお前のせいだ！,,이 모든 게 너 때문이야!,这一切都是因为你！,Das alles ist wegen dir!,ทั้งหมดนี้เป็นเพราะคุณ!,Ang lahat ng ito ay dahil sa iyo!,Tudo isso é por sua causa!,"Tout cela, c'est grâce à vous !",¡Todo esto es gracias a ti!,Все это благодаря тебе!
ch7_michael2,"Semua kekacauan, semua mimpi buruk ini",ch7_michael3,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,"All this chaos, all these nightmares",この混乱も、悪夢も全部,,"이 모든 혼란, 이 모든 악몽",所有的混乱，所有的噩梦,"All dieses Chaos, all diese Albträume",ความวุ่นวายทั้งหมดนี้ ฝันร้ายทั้งหมดนี้,"Lahat ng kaguluhang ito, lahat ng bangungot na ito","Todo esse caos, todos esses pesadelos","Tout ce chaos, tous ces cauchemars","Todo este caos, todas estas pesadillas.","Весь этот хаос, все эти кошмары"
ch7_michael3,KAU SUMBERNYA!,ch7_michael4,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,,YOU’RE THE SOURCE!,お前が原因だ！,,너가 근원이야!,你就是根源！,DU BIST DIE QUELLE!,คุณคือแหล่งที่มา!,IKAW ANG PINAGMUMULAN!,VOCÊ É A FONTE!,VOUS ÊTES LA SOURCE !,¡TÚ ERES LA FUENTE!,ВЫ — ИСТОЧНИК!
ch7_michael4,Karena aku?,ch7_michael5,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,Because of me?,俺のせいか？,,내 탓이야?,因为我吗？,Wegen mir?,เพราะฉันเหรอ?,Dahil sa akin?,Por minha causa?,À cause de moi ?,¿Por mi culpa?,Из-за меня?
ch7_michael5,Tidak… aku ada karena kau menginginkanku,ch7_michael6,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,No… I’m here because you wanted me,いや…俺はお前が望んだからここにいる,,아니… 난 네가 원했기 때문에 여기 있어,不… 我在这里，是因为你想要我,"Nein… ich bin hier, weil du mich wolltest",ไม่… ฉันมาที่นี่เพราะคุณต้องการฉัน,Hindi... Nandito ako dahil gusto mo ako,Não… Estou aqui porque você me quis,Non… Je suis là parce que tu me voulais,No… estoy aquí porque me querías,"Нет… Я здесь, потому что ты этого хотел."
ch7_michael6,Aku lahir dari harapanmu untuk punya kehidupan yang tak pernah bisa kau capai…,ch7_michael7,/Script/Engine.DataTable'/Game/Dialogue/Chapter7_Dialogue.Chapter7_Dialogue',False,Michael,I was born from your wish for a life you could never have…,お前が決して手に入れられなかった人生の願いから生まれた…,,난 네가 결코 가질 수 없는 삶을 바란 소원에서 태어났어…,我是从你对一生无法拥有的生活的愿望中诞生的…,"Ich wurde aus deinem Wunsch nach einem Leben geboren, das du nie haben konntest…",ฉันเกิดมาจากความปรารถนาของคุณที่อยากมีชีวิตแบบที่คุณไม่มีวันได้มี…,Ako ay ipinanganak mula sa iyong pagnanais para sa isang buhay na hindi mo kailanman makukuha...,Eu nasci do seu desejo por uma vida que você nunca poderia ter…,Je suis né de ton souhait d’une vie que tu ne pourrais jamais avoir…,Nací de tu deseo de una vida que nunca pudiste tener…,"Я родился из твоего желания жизни, которая никогда не была бы твоей…"
